Time,YawBrTAxp,YawBrTAyp,PtfmTDxi,PtfmTDyi,PtfmTDzi,PtfmRDxi,PtfmRDyi,PtfmRDzi
11.4,-0.009912567570611323,0.00016576221531468404,-0.021122775276234868,-1.165477260598961e-05,-0.8857990656087492,7.051241977168984e-05,-0.12849379552214027,-2.5895754636820415e-05
11.6,-0.008859554005965772,0.0010563909062588572,-0.02132530108925325,-4.122431443145437e-05,-0.7997885549972483,0.00015157593981217726,-0.1300460690572611,3.0421316639678462e-05
11.8,-0.012664410500992913,0.0013885338511246562,-0.021300565664295883,-5.0252954941138385e-05,-0.7106667845340209,0.00017572573907039126,-0.13091376504845395,3.3355206024360076e-05
12.0,-0.017726164258816117,0.0008791380537788847,-0.02116487568025092,-3.080950574844634e-05,-0.6188845729523027,0.0001221500254547496,-0.13139912145593458,3.896853512148251e-06
12.2,-0.02045519805215095,-1.816793569492233e-05,-0.021051857115294056,7.368137320771877e-06,-0.5249011160689906,1.7921408199518132e-05,-0.13185211062097954,-2.088194974149733e-05
12.4,-0.021072405850742874,-0.000709634726043294,-0.0209717357472501,4.5117004533866184e-05,-0.42929201313200427,-8.474329750019375e-05,-0.13231618325703404,-3.687611551428033e-05
12.6,-0.022501342442893285,-0.0010681475864697974,-0.020860607749394893,6.75753277071242e-05,-0.33267324090177575,-0.00014541031569121794,-0.13264828054812666,-5.463528976871625e-05
12.8,-0.024944156049672785,-0.0012196113397226387,-0.020731445298982448,6.907551213676744e-05,-0.23555784186510725,-0.00014801470683968986,-0.1328917173922448,-6.0993629738255815e-05
13.0,-0.026104279422531497,-0.0010333409341400511,-0.02066578485240153,4.984814811074263e-05,-0.13836513819229873,-9.22901760712334e-05,-0.13325751506733274,-2.6859322965136112e-05
13.2,-0.02444587736549824,-0.0002589796774927639,-0.020708018871246934,1.3763555454356754e-05,-0.04156316446986024,1.0601031485553968e-05,-0.13385890473343845,3.108533472787552e-05
13.4,-0.020930640678575974,0.0008565622903997123,-0.020801953696863183,-2.714027883935202e-05,0.05428439906182565,0.00012599256840516659,-0.13455252774924892,5.4084693636590324e-05
13.6,-0.01754839717321639,0.0015536911482455854,-0.020860905288712612,-5.338782733974495e-05,0.1486425201958884,0.00019960668473953535,-0.13511083198240162,1.3812358946476064e-05
13.8,-0.014079911518083538,0.0013333230835244616,-0.020868129298063812,-5.010966311057129e-05,0.24110493632558228,0.00019150523765762873,-0.13546845950077235,-4.9647720011818024e-05
14.0,-0.010459998968788936,0.00048774270287059684,-0.020813920841675597,-1.885276719244707e-05,0.33131844686921846,0.0001073187454142227,-0.13557487079301833,-7.169194347414269e-05
14.2,-0.008928136804354352,-0.0003169742709439549,-0.020627207971658474,2.2845712346611167e-05,0.41885296652484877,-4.977771426989426e-06,-0.13523675865003656,-4.39429453475877e-05
14.4,-0.011995458435096737,-0.0007804313959627363,-0.020233986334925427,5.4846648620601785e-05,0.5032241586487848,-9.154154505368545e-05,-0.13427337569372272,-8.756647878875696e-06
14.6,-0.019209724132837155,-0.0009656336742784617,-0.01966919462413221,6.517148170236351e-05,0.5840336940460411,-0.00012059101143283155,-0.13279700944478015,5.9243982479422205e-06
14.8,-0.025805909731382765,-0.0008271191646045137,-0.019104510116407427,5.195103081142871e-05,0.6610053625695516,-8.667219558456814e-05,-0.13126917869328308,8.354893828476357e-06
15.0,-0.027909215223369283,-0.00023216947989735523,-0.01868605187075539,2.3245980939876784e-05,0.733864375239258,-1.0384963482645186e-05,-0.130084500305512,1.1256852253429062e-05
15.2,-0.02605088694857499,0.0005591529640596176,-0.01841175288111969,-4.5460571485093094e-06,0.8022515648343367,6.485349716051084e-05,-0.12925618209415438,-2.0466750219085383e-06
15.4,-0.022867135816930236,0.0008459109378809322,-0.018199389749380363,-1.3082120728496696e-05,0.865807190214191,9.020744333634451e-05,-0.12857918829597467,-4.177725991583518e-05
15.6,-0.019965714735254478,0.00027832732329511527,-0.017994120871679786,3.796851097715503e-06,0.9242918004379124,4.95767467022552e-05,-0.1279024570613777,-7.39527837090922e-05
15.8,-0.016710432711192803,-0.0005736189492833549,-0.01779566479656594,3.113493614997964e-05,0.9775548080512817,-1.727424611814645e-05,-0.12720308192256052,-5.811933178897112e-05
16.0,-0.013386295706051385,-0.0008061395085537013,-0.017572978401767254,4.3803372403965284e-05,1.0254021522034436,-4.4842447337193196e-05,-0.12638376883022218,-2.298933839924232e-06
16.2,-0.011930260963493092,-0.0001833445051130171,-0.017241231146700616,2.8169678510031378e-05,1.06757105090354,4.574390382975224e-07,-0.12522274918479895,3.5243684884986114e-05
16.4,-0.012881354677351157,0.0006856242476848411,-0.016768613559085554,-5.4613249626017155e-06,1.1038505824975158,8.94234403966629e-05,-0.12363629247763368,1.7706572956388666e-05
16.6,-0.014681776928675184,0.0011393896704747508,-0.016211995123443047,-3.180901568460064e-05,1.134156325605752,0.0001556144635360492,-0.12176572442466212,-2.7143386200941823e-05
16.8,-0.015577767155837335,0.0010241472290845432,-0.01563976145415331,-2.9963868411286604e-05,1.158442456029587,0.0001460024019125882,-0.1197847892289733,-5.400722390431975e-05
17.0,-0.016546637297223575,0.0004306603860299293,-0.015045158837252388,4.722554537169462e-06,1.176591701662068,5.0557681269104184e-05,-0.11768573004645365,-5.241310160497989e-05
17.2,-0.019720351170386126,-0.0005658188485829103,-0.01438006856311696,5.8309563905215044e-05,1.1884545454180655,-9.29810606341955e-05,-0.11536713562691922,-4.4593968630011444e-05
17.4,-0.02426101043017773,-0.001657121524462285,-0.013682822391978454,0.00010358006326480328,1.193974603592578,-0.00021237734406705474,-0.11294711711679704,-3.8578524992271616e-05
17.6,-0.026721743769213505,-0.00207656692026837,-0.013075061087916796,0.00011189321827315347,1.1932038135267762,-0.00023152712881694543,-0.11074958838927759,-1.9286071312626863e-05
17.8,-0.02468323562819853,-0.0011893109507369337,-0.012629639205658351,7.115806355349057e-05,1.186189245290109,-0.00011884102506437012,-0.10896966097339324,7.369430530465938e-06
18.0,-0.019608890267627518,0.000597975483423833,-0.012294322640996443,1.2629787776026648e-07,1.172918813726442,7.455511036605076e-05,-0.10747560018375782,8.891311946182053e-06
18.2,-0.014712905364707334,0.002014732409038864,-0.011952344526348344,-5.9784238568710396e-05,1.1534154434898842,0.00023729414257079456,-0.10595986187350706,-3.0698792623842886e-05
18.4,-0.011356220943614912,0.0021122419030983755,-0.011540152421575375,-7.266502350407822e-05,1.1278365211045729,0.0002737916482142096,-0.10423841630303632,-7.672758593021479e-05
18.6,-0.009396887946500055,0.0010724655097170122,-0.011050521529695635,-3.331121304367484e-05,1.0964261133056679,0.00017090031098633508,-0.10226996004677462,-7.928495192384248e-05
18.8,-0.00922719203683472,-0.00020902710687651933,-0.010455216694791705,3.147940378541836e-05,1.0593939357600364,-2.348729337880204e-07,-0.09997595969904849,-3.950773731952928e-05
19.0,-0.011992985326268735,-0.0010926544485706374,-0.009718637039097668,8.474217063779447e-05,1.0169101622133134,-0.00014237123775844186,-0.09727668837993861,-2.998433865806568e-06
19.2,-0.01700126200699437,-0.0014083776201514165,-0.008877404771229787,0.00010170365139157974,0.9692191981698259,-0.00019021275125807616,-0.09428538523289669,-1.9147377492390023e-06
